Object ID,VShift Peak BHA,Kurtosis BHA,VShift Center BHA,BHA Asymmetry,VShift Peak BHB,VShift Center BHB,Kurtosis BHB,BHB Asymmetry
0332-52367-0639,-820.85,0.84129,-959.12,0.13646,246.59,1376.86,1.30406,-0.16874
0386-51788-0086,228.17,0.49734,-195.24,0.06620,308.14,227.19,0.44864,0.05322
2167-53889-0484,-820.47,0.97598,-858.92,-0.01480,369.66,360.60,0.97055,-0.02774
2037-53446-0015,-1322.97,0.78477,-812.95,-0.00079,123.30,311.19,0.94598,-0.07490
0462-51909-0133,593.51,0.98648,602.05,-0.00649,1354.01,1446.55,1.04586,-0.02524
1365-53062-0378,319.53,0.97319,285.08,0.01762,61.67,-22.98,1.02791,0.00254
1736-53052-0620,365.21,0.97883,357.61,0.00070,554.54,1183.28,1.36122,-0.20642
0878-52353-0598,136.96,0.65556,-42.25,-0.03593,-617.11,110.60,0.66221,0.03693
0941-52709-0502,0.00,0.96893,-67.14,-0.02458,61.69,378.10,0.69608,-0.29399
0789-52342-0507,730.20,0.99720,720.68,-0.00648,308.21,960.26,0.60392,-0.14728
1943-53386-0466,0.00,0.78180,123.40,-0.10266,61.67,633.56,0.65531,-0.15467
0665-52168-0597,502.13,0.98558,478.55,-0.00496,800.51,763.93,1.01437,0.01366
0438-51884-0384,-1415.07,1.91360,-1734.50,0.01105,431.31,847.74,0.87444,-0.16402
2884-54526-0177,-228.48,0.97957,-240.20,0.00404,-369.96,-216.00,0.81929,-0.17286
2289-53708-0112,410.96,0.74686,309.47,0.09358,924.05,748.93,0.53900,0.11946
1805-53875-0587,-685.66,0.77223,6.18,-0.03913,307.95,-197.08,0.67569,0.05627
2147-53491-0605,91.33,0.50234,-66.27,0.22780,61.67,-101.27,0.36654,0.08759
2145-54212-0182,273.95,0.99097,264.94,-0.00955,492.77,491.31,1.00257,-0.02305
1610-53144-0469,0.00,0.83792,-174.10,0.12597,-185.00,-253.66,0.39930,0.07042
2784-54529-0027,-365.32,0.98196,-338.19,-0.01158,-1292.07,-1145.42,0.97003,-0.06167
0983-52443-0374,182.63,0.96561,172.37,0.02068,308.14,524.58,0.85094,-0.15669
0285-51930-0280,-319.83,0.98767,-328.75,-0.00689,-308.40,-142.65,0.85935,-0.14547
2594-54177-0415,-91.34,0.92339,-184.52,0.05824,0.00,26.87,1.04273,-0.02626
0556-51991-0472,-1412.92,0.72117,-1356.96,-0.00716,-1903.42,-1961.68,0.45714,-0.11982
2649-54212-0215,-730.98,0.63680,-553.11,-0.05746,-740.07,-436.79,0.37469,-0.03672
1959-53440-0066,410.83,0.90792,290.61,0.08151,308.14,503.98,0.51666,-0.03316
1600-53090-0079,136.99,0.75805,132.25,0.02335,246.64,439.73,0.74127,-0.05002
1277-52765-0332,319.58,0.55530,95.11,0.42106,184.89,256.73,0.43762,-0.08806
0526-52312-0537,319.68,0.53982,603.63,-0.17480,492.98,491.91,0.55341,0.06359
0592-52025-0376,-365.54,0.66041,-153.24,-0.04700,431.22,1156.04,1.31449,-0.08434
2147-53491-0162,-45.68,0.95820,-30.85,-0.01102,-123.32,299.68,0.60366,-0.39333
2774-54534-0430,-274.28,0.70521,366.24,-0.03580,184.77,764.52,1.25062,0.00856
1945-53387-0472,-775.07,0.84936,-776.12,-0.01279,246.59,406.58,0.55969,-0.20507
2781-54266-0054,273.99,0.99610,272.17,-0.00637,-308.40,318.02,0.45091,-0.07100
0950-52378-0475,136.94,0.57439,211.62,-0.05450,2339.68,2311.71,1.02722,-0.01548
1605-53062-0038,-685.66,0.85841,-905.45,0.08397,-308.40,50.83,0.81906,-0.18775
0451-51908-0133,-274.12,0.97886,-379.04,-0.04373,-246.69,109.94,0.47557,-0.21932
0765-52254-0058,137.01,0.97941,123.31,0.00329,431.40,560.72,0.87368,-0.13071
1726-53137-0566,319.53,0.71829,-23.04,0.07710,-61.65,215.54,1.02670,-0.03799
2116-53854-0621,-502.36,0.94709,-598.59,0.01974,-2398.54,-1318.27,1.31289,-0.27289
1871-53384-0178,-546.90,0.98397,-597.44,-0.00667,431.40,517.05,0.97229,-0.03971
2743-54259-0576,91.32,0.66107,247.08,-0.05729,1910.07,1982.53,1.13463,0.06145
2782-54592-0012,0.00,0.99162,-1.65,-0.00740,123.22,307.25,0.45992,0.08807
0513-51989-0110,410.83,0.98839,395.13,-0.00892,-185.00,301.54,0.48388,-0.01579
2615-54483-0597,-683.57,0.94409,-694.02,-0.02176,554.43,1521.11,1.28828,-0.06364
0655-52162-0315,273.95,0.90491,298.54,0.00619,-246.74,830.77,1.32491,-0.36337
2033-53476-0104,-1096.96,0.60045,-846.27,0.03340,-987.37,-463.56,0.39783,-0.03169
1866-53314-0508,319.58,0.99285,272.23,-0.01474,184.92,358.76,0.67216,-0.32397
0570-52266-0517,-319.68,0.58224,-305.84,-0.03706,-493.38,-401.84,0.84367,-0.15381
2488-54149-0503,137.01,0.97407,120.49,0.00253,123.27,313.55,0.79891,-0.19353
1440-53084-0178,-2331.20,0.88823,-1824.30,-0.17924,-2041.69,916.51,1.22820,-0.12835
0375-52140-0361,137.01,0.98467,168.77,0.00177,-617.87,305.83,0.53032,-0.18240
0604-52079-0090,-594.14,0.76185,-227.80,-0.22299,246.49,504.42,0.96809,-0.09491
