flux,loglam,ivar,and_mask,or_mask,wdisp,sky,model
100.19751,3.5825,0.020473955,0,0,1.1920308,4.2011395,115.251045
109.25002,3.5826,0.019576205,0,0,1.1918255,3.8286495,120.83197
120.71525,3.5827,0.018531825,0,0,1.1916215,3.6211343,121.3041
115.457756,3.5828,0.018554023,0,0,1.1914197,3.6636338,127.48475
115.97876,3.5829,0.018186918,0,0,1.1912185,4.004342,130.64755
121.609436,3.583,0.017670386,0,0,1.1910084,4.5965023,133.03995
115.505424,3.5831,0.018131899,0,0,1.1908126,5.6827717,135.06114
122.92383,3.5832,0.016943226,0,0,1.1906018,7.115608,133.51376
128.59871,3.5833,0.016923664,0,0,1.1904002,8.42118,128.3616
119.28281,3.5834,0.017648822,0,0,1.1901982,8.580275,127.34779
115.10586,3.5835,0.018478943,0,0,1.1899953,7.423955,125.23244
111.56875,3.5836,0.019147715,0,0,1.1897917,5.9008975,121.790634
107.90997,3.5837,0.020188691,0,0,1.1895857,5.232043,118.478645
102.13141,3.5838,0.02098505,0,0,1.1893872,5.705362,115.75206
83.32429,3.5839,0.023824524,0,0,1.1891819,6.1904736,113.32607
103.68938,3.584,0.021987015,0,0,1.1889768,5.9952593,113.348206
101.10341,3.5841,0.022019994,0,0,1.1887765,4.8320756,117.99949
102.88853,3.5842,0.022057869,0,0,1.1885723,3.961579,125.07543
117.5959,3.5843,0.02027302,0,0,1.1883671,3.5672734,130.83713
132.21045,3.5844,0.018670248,0,0,1.1881627,3.6166034,135.43034
128.86304,3.5845,0.018945245,0,0,1.1879605,3.999151,141.81
126.16553,3.5846,0.01878254,0,0,1.1877584,4.2986083,138.70923
134.78848,3.5847,0.018254073,0,0,1.1875522,4.0589604,139.04465
137.01176,3.5848,0.0178423,0,0,1.1873493,3.5299911,140.81236
132.59293,3.5849,0.018092472,0,0,1.1871449,3.2582371,137.69275
123.20604,3.585,0.019111663,0,0,1.1869389,3.8119664,132.24097
134.77419,3.5851,0.018269544,0,0,1.1867385,4.705738,134.96149
137.80217,3.5852,0.01823571,0,0,1.1865366,5.1975713,133.7516
127.773994,3.5853,0.019371094,0,0,1.1863339,4.6121182,134.63881
130.88474,3.5854,0.019682819,0,0,1.1861322,3.6943653,134.76004
137.40694,3.5855,0.019223794,0,0,1.1859285,3.3375173,133.62202
131.61505,3.5856,0.020566856,0,0,1.1857265,3.6910682,134.23676
126.17577,3.5857,0.02109513,0,0,1.1855258,4.1662464,137.10637
129.15215,3.5858,0.021442339,0,0,1.1853176,4.207777,136.95238
121.02548,3.5859,0.022592826,0,0,1.1851153,3.4111536,135.37555
116.52278,3.586,0.023306128,0,0,1.1849145,2.4976015,134.43517
126.81267,3.5861,0.022321194,0,0,1.1847122,2.0607722,132.12587
111.107056,3.5862,0.024441492,0,0,1.1845087,2.0987954,128.84924
114.56976,3.5863,0.023371141,0,0,1.1843052,2.3164182,131.1603
121.3536,3.5864,0.02185029,0,0,1.1840988,2.3886693,134.58792
123.441154,3.5865,0.021614354,0,0,1.1838944,2.414776,135.78876
127.48576,3.5866,0.02084804,0,0,1.1836923,2.5244713,136.74474
132.11374,3.5867,0.020424169,0,0,1.1834886,2.8015213,138.67653
135.14203,3.5868,0.019914214,0,0,1.1832879,3.2567775,141.92906
139.34145,3.5869,0.019572822,0,0,1.1830868,3.6607869,146.4979
134.0958,3.587,0.020260941,0,0,1.1828803,3.7816443,147.33754
132.70638,3.5871,0.020487256,0,0,1.182677,3.789312,148.81232
144.86917,3.5872,0.019716943,0,0,1.1824805,3.7200854,151.46393
148.66599,3.5873,0.018829413,0,0,1.1822739,3.5318377,154.42146
154.19962,3.5874,0.017865375,0,65536,1.1820674,3.241674,155.86447
171.4245,3.5875,0.016727284,0,65536,1.1818656,2.9400556,154.30505
159.91315,3.5876,0.017823817,0,65536,1.181667,2.6322205,156.09377
142.98494,3.5877,0.019318856,0,65536,1.1814626,2.367783,162.14966
158.29753,3.5878,0.018339885,0,65536,1.181261,2.2452269,160.6263
144.98813,3.5879,0.019379588,0,65536,1.1810536,2.3608813,156.06813
152.45996,3.588,0.0186042,0,65536,1.1808478,2.620842,156.2542
158.7676,3.5881,0.018353231,0,0,1.1806462,2.7502606,152.88693
162.42,3.5882,0.01761641,0,0,1.1804419,2.8353436,148.56895
139.5475,3.5883,0.017544473,0,0,1.1802336,3.1776345,145.45815
134.20383,3.5884,0.017737173,0,0,1.1800328,3.1451278,142.37663
140.78036,3.5885,0.017799051,0,0,1.1798302,3.1645944,139.43188
133.77545,3.5886,0.020522704,0,0,1.1796341,3.179201,137.81679
124.7528,3.5887,0.022431793,0,0,1.1794358,3.0405037,137.54405
134.01271,3.5888,0.022049816,0,0,1.1792294,2.7459183,137.18881
138.96751,3.5889,0.021057626,0,0,1.1790342,2.4233048,133.37369
122.00762,3.589,0.017595135,0,33554432,1.1788621,2.012549,132.08592
127.29479,3.5891,0.017061483,0,33554432,1.1786624,1.6540557,130.17856
122.25041,3.5892,0.023028495,0,0,1.1784244,1.5275469,125.05893
111.92553,3.5893,0.025276987,0,0,1.1782187,1.4348156,126.002144
108.286545,3.5894,0.026531054,0,0,1.1780145,1.4423308,126.32843
102.729454,3.5895,0.028022183,0,0,1.1778146,1.4714277,123.21708
97.38378,3.5896,0.028604703,0,0,1.1776141,1.4001727,119.81128
105.36354,3.5897,0.027646236,0,0,1.1774094,1.3161168,120.42528
118.60407,3.5898,0.02498724,0,0,1.1772072,1.4290178,125.74303
120.71421,3.5899,0.024871685,0,0,1.1770021,1.8598937,131.37607
133.5068,3.59,0.022602724,0,0,1.1768049,2.6084547,136.66946
131.95753,3.5901,0.02242051,0,0,1.1766009,3.736422,139.3298
140.09886,3.5902,0.021398189,0,0,1.1763966,4.416109,141.76102
137.77316,3.5903,0.02193657,0,0,1.1761954,4.573975,145.69664
136.37608,3.5904,0.021700442,0,0,1.1759903,4.2549105,148.91136
136.17996,3.5905,0.021761246,0,0,1.1757873,3.678792,147.50235
138.31923,3.5906,0.021563945,0,0,1.1755878,3.181055,147.37715
144.12706,3.5907,0.020679977,0,0,1.1753873,2.8921201,145.59978
145.99149,3.5908,0.020278139,0,0,1.1751826,2.986437,145.39212
142.90588,3.5909,0.020508293,0,0,1.1749789,3.384512,147.61882
144.79472,3.591,0.020273317,0,0,1.1747764,3.8435109,149.16422
144.27582,3.5911,0.020359244,0,0,1.174574,4.111978,147.50124
139.97787,3.5912,0.020770552,0,0,1.1743748,3.612054,146.93231
144.69176,3.5913,0.02017925,0,0,1.174169,2.9059913,143.52611
141.82307,3.5914,0.020349773,0,0,1.173965,2.7391331,139.59518
136.41454,3.5915,0.020708099,0,0,1.1737615,3.431067,135.5165
138.77583,3.5916,0.021083899,0,0,1.1735603,4.5337057,132.03047
133.34502,3.5917,0.021840759,0,0,1.1733648,5.2860713,133.5103
121.859436,3.5918,0.023931062,0,0,1.1731607,5.4942627,135.27968
135.2446,3.5919,0.022933416,0,0,1.1729584,5.730848,132.87267
139.00592,3.592,0.022660837,0,0,1.1727557,6.780346,129.53763
133.4247,3.5921,0.023992369,0,0,1.1725498,7.5765696,128.2791
116.6748,3.5922,0.027114972,0,0,1.1723504,6.6039057,128.54259
123.8066,3.5923,0.026258314,0,0,1.1721436,5.439223,127.833496
120.959435,3.5924,0.027049074,0,0,1.1719421,5.351546,127.90981
112.970314,3.5925,0.028218133,0,0,1.1717435,5.8128476,124.22775
118.257416,3.5926,0.028419675,0,0,1.1715437,5.4518094,123.5057
114.97232,3.5927,0.029347813,0,0,1.1713414,4.2697873,122.68945
102.40986,3.5928,0.032144427,0,0,1.1711324,3.5841105,118.09211
112.27498,3.5929,0.030598465,0,0,1.1709346,3.916495,118.62373
105.0921,3.593,0.03192195,0,0,1.1707344,4.6162677,119.10793
105.89449,3.5931,0.03195431,0,0,1.17053,4.3506083,115.49831
99.57719,3.5932,0.033949412,0,0,1.1703265,3.15541,114.26842
104.03615,3.5933,0.033289675,0,0,1.1701273,2.3582034,113.679085
101.93331,3.5934,0.03354612,0,0,1.169924,2.2904968,110.17128
101.6247,3.5935,0.034341335,0,0,1.1697197,2.8943734,108.92293
95.07329,3.5936,0.036399677,0,0,1.169518,3.5367723,105.980896
84.6465,3.5937,0.039638657,0,0,1.1693183,3.6730752,105.33058
86.3779,3.5938,0.039032865,0,0,1.1691214,3.369928,104.50826
100.02632,3.5939,0.035983253,0,0,1.1689209,2.9044678,104.89292
109.17628,3.594,0.033711176,0,0,1.1687195,2.5003016,107.18012
99.29784,3.5941,0.036382917,0,0,1.1685147,2.3625238,106.07819
97.126625,3.5942,0.03759632,0,0,1.1683111,2.4198055,108.34794
96.877815,3.5943,0.03730456,0,0,1.1681073,2.5679886,111.96443
106.20488,3.5944,0.035714794,0,0,1.1679095,2.7682576,114.75723
114.704185,3.5945,0.033129998,0,0,1.1677122,2.8957293,118.52254
117.778694,3.5946,0.031945292,0,0,1.1675061,2.9500563,124.116585
117.74357,3.5947,0.0315732,0,0,1.1673009,2.9859617,127.501434
117.4858,3.5948,0.03194559,0,0,1.167098,2.97781,130.48819
118.11083,3.5949,0.031430036,0,0,1.1668993,2.9094648,133.01141
122.605194,3.595,0.03085072,0,0,1.1666952,2.6104531,134.47989
134.92111,3.5951,0.0287665,0,0,1.1664983,2.3905022,136.648
122.61457,3.5952,0.030569516,0,0,1.1662985,2.7268727,139.05109
137.8049,3.5953,0.02763012,0,0,1.1660967,3.7828345,136.86745
131.03725,3.5954,0.028433217,0,0,1.1658958,4.6366253,136.04242
131.82358,3.5955,0.027958047,0,0,1.1656938,4.768053,135.58737
142.80482,3.5956,0.026610691,0,0,1.1654934,4.448983,135.2596
141.19197,3.5957,0.026539756,0,0,1.165292,4.3576555,136.38277
138.00313,3.5958,0.026858222,0,0,1.1650896,4.678609,137.68954
145.9375,3.5959,0.025899706,0,0,1.1648879,4.93287,134.85458
142.92084,3.596,0.026268963,0,0,1.164686,4.697112,134.6342
143.78941,3.5961,0.026652858,0,0,1.1644827,4.2120914,133.53648
134.38689,3.5962,0.028378941,0,0,1.1642842,4.134033,131.20248
132.87326,3.5963,0.028363451,0,0,1.1640782,4.1664047,130.02809
129.27519,3.5964,0.028861107,0,0,1.163877,3.974059,130.40205
134.24991,3.5965,0.028063437,0,0,1.163677,3.6419096,128.64157
138.67633,3.5966,0.02705447,0,0,1.1634762,3.4969475,126.98411
143.55508,3.5967,0.026336335,0,0,1.1632756,3.6132667,131.5022
147.82043,3.5968,0.025491472,0,0,1.163076,3.7358866,134.8032
142.99352,3.5969,0.026074905,0,0,1.1628715,3.6912827,136.57896
143.8627,3.597,0.02614034,0,0,1.1626682,3.5908618,139.69563
165.32735,3.5971,0.022775961,0,0,1.1624753,4.153077,140.256
150.1597,3.5972,0.023552611,0,0,1.1622759,5.0568566,143.07335
164.0666,3.5973,0.022287475,0,0,1.1620716,5.343253,141.72383
162.88837,3.5974,0.022298383,0,0,1.1618698,4.58249,138.71736
156.47498,3.5975,0.022406882,0,0,1.1616671,3.5872898,137.43188
160.96518,3.5976,0.021891039,0,0,1.1614664,3.4211783,137.16931
