PLATE,MJD,FIBERID,LINENAME,LINEWAVE,LINEZ,LINEZ_ERR,LINESIGMA,LINESIGMA_ERR,LINEAREA,LINEAREA_ERR,LINEEW,LINEEW_ERR,LINECONTLEVEL,LINECONTLEVEL_ERR,LINENPIXLEFT,LINENPIXRIGHT,LINEDOF,LINECHI2
2022,53827,286,Ly_alpha     ,1215.67,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0,0,0.0,-1.0
2022,53827,286,N_V 1240     ,1240.81,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0,0,0.0,-1.0
2022,53827,286,C_IV 1549    ,1549.48,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0,0,0.0,-1.0
2022,53827,286,He_II 1640   ,1640.42,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0,0,0.0,-1.0
2022,53827,286,C_III] 1908  ,1908.734,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0,0,0.0,-1.0
2022,53827,286,Mg_II 2799   ,2800.3151836549728,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0,0,0.0,-1.0
2022,53827,286,[O_II] 3725  ,3727.091726797987,0.022974957,1.9796662e-05,385.0877,8.101619,5265.4346,13036.813,27.6007,65.11675,190.77177,22.259394,0,5,3.9038901,1.4612715
2022,53827,286,[O_II] 3727  ,3729.875447997208,0.022974957,1.9796662e-05,385.0877,8.101619,-3999.7864,4421.794,-22.541721,27.304382,177.43925,18.768543,0,8,6.90389,2.283946
2022,53827,286,[Ne_III] 3868,3869.8567972272717,0.022974925,1.9796662e-05,385.0877,8.101619,220.26006,33.764294,1.6077342,0.23360346,137.00029,1.0950521,17,17,32.90389,74.643295
2022,53827,286,H_epsilon    ,3890.1510799166767,0.022974987,1.9796662e-05,229.9136,7.7148604,-273.87183,21.319288,-1.9211955,0.16291286,142.55281,0.9912574,10,10,18.706522,29.71699
2022,53827,286,[Ne_III] 3970,3971.1231872114904,0.02297501,1.9796662e-05,385.0877,8.101619,-1094.4705,34.62726,-6.7029324,0.26124534,163.28233,1.1979071,16,17,31.90389,42.812195
2022,53827,286,H_delta      ,4102.891630872568,0.022975037,1.9796664e-05,229.9136,7.7148604,-417.8336,21.076765,-2.3784807,0.13245441,175.67247,0.9215246,10,10,18.706522,24.79085
2022,53827,286,H_gamma      ,4341.684312649426,0.022975056,1.9796664e-05,385.0877,8.101619,263.8934,22.26391,2.1524804,0.18046126,122.59968,0.06477113,17,16,31.90389,97.22539
2022,53827,286,[O_III] 4363 ,4364.435300399844,0.022975007,1.9796662e-05,385.0877,8.101619,32.39736,26.15607,0.15139778,0.12215129,213.98836,0.11305305,16,17,31.90389,63.18009
2022,53827,286,He_II 4685   ,4686.991444195157,0.022975013,1.9796662e-05,385.0877,8.101619,79.149956,26.441496,0.37527168,0.12516813,210.91374,0.111428685,17,17,32.90389,21.578518
2022,53827,286,H_beta       ,4862.682993731257,0.02297525,1.9796666e-05,229.9136,7.7148604,296.5186,20.016113,1.8385698,0.123139,161.27676,0.08520478,10,10,18.706522,20.466295
2022,53827,286,[O_III] 4959 ,4960.2949014467185,0.022973975,1.9796642e-05,385.0877,8.101619,189.84958,9.320603,0.8619507,0.041861806,220.25572,0.11636419,17,17,33.40389,35.720924
2022,53827,286,[O_III] 5007 ,5008.239637728127,0.022974914,1.9796662e-05,385.0877,8.101619,575.0544,28.232105,2.8089533,0.13642062,204.72195,0.10815748,17,17,33.40389,73.749054
2022,53827,286,He_II 5411   ,5413.024422565308,0.022975195,1.9796666e-05,385.0877,8.101619,-87.73325,29.139128,-0.4012255,0.13347228,218.66321,0.11552284,17,16,31.90389,19.14877
2022,53827,286,[O_I] 5577   ,5578.887703795193,0.02297606,1.9796682e-05,385.0877,8.101619,20.862436,30.443031,0.09398957,0.13710247,221.96544,0.11726745,17,16,31.90389,14.965207
2022,53827,286,[O_I] 6300   ,6302.046376726897,0.022976097,1.9796682e-05,385.0877,8.101619,389.20953,38.144806,1.8583685,0.18114917,209.43614,0.11064806,17,17,32.90389,44.091763
2022,53827,286,[S_III] 6312 ,6313.805532906624,0.022974664,1.9796655e-05,385.0877,8.101619,-325.27954,36.83754,-1.4715776,0.16743197,221.04137,0.11677925,17,17,32.90389,43.272606
2022,53827,286,[O_I] 6363   ,6365.535419574267,0.02297529,1.9796667e-05,385.0877,8.101619,-331.1844,29.562244,-1.4890231,0.13370015,222.41722,0.11750615,17,16,31.90389,152.97412
2022,53827,286,[N_II] 6548  ,6549.858929253789,0.022975286,1.9796667e-05,385.0877,8.101619,1014.55865,47.573025,3.936756,0.18251607,257.7144,0.13615413,16,17,31.90389,58.200996
2022,53827,286,H_alpha      ,6564.613894333284,0.022974705,1.9796656e-05,229.9136,7.7148604,995.59174,42.301,4.8658996,0.20417307,204.6059,0.10809617,10,10,18.706522,55.24609
2022,53827,286,[N_II] 6583  ,6585.2684452471885,0.022974027,1.9796642e-05,385.0877,8.101619,1753.4427,47.42052,6.831979,0.18115623,256.65225,0.13559298,17,17,32.90389,271.10114
2022,53827,286,[S_II] 6716  ,6718.29420811581,0.0229751,1.9796664e-05,385.0877,8.101619,124.72487,38.27036,0.56467277,0.17296489,220.87991,0.11669396,17,16,31.90389,127.532
2022,53827,286,[S_II] 6730  ,6732.678076327587,0.022975495,1.9796671e-05,385.0877,8.101619,-23.25449,37.741154,-0.10170219,0.16511253,228.65279,0.12080048,17,17,32.90389,169.40897
2022,53827,286,[Ar_III] 7135,7137.757103334721,0.022975683,1.9796675e-05,385.0877,8.101619,-113.282936,38.987686,-0.5732871,0.19946921,197.60245,0.74642664,17,17,32.90389,18.518185
