Object ID,VShift Peak BHA,Kurtosis BHA,VShift Center BHA,BHA Asymmetry,VShift Peak BHB,VShift Center BHB,Kurtosis BHB,BHB Asymmetry
1733-53047-0254,-2147.38,0.73047,-749.19,-0.20464,8328.48,1851.96,0.86536,0.35352
0332-52367-0639,-820.85,0.84129,-959.12,0.13646,246.59,1376.86,1.30406,-0.16874
0386-51788-0086,228.17,0.49734,-195.24,0.06620,308.14,227.19,0.44864,0.05322
1384-53121-0250,45.68,0.40505,205.73,-0.01993,8508.20,5243.98,0.22650,0.59462
2117-54115-0449,1141.89,0.95555,938.15,-0.04825,6784.11,4484.94,0.70486,0.09956
2520-54584-0628,-1598.39,0.98460,-1617.45,-0.00757,8448.30,6047.65,0.35284,0.43971
1720-53854-0632,4038.49,1.04426,2520.98,0.10072,8509.92,4786.44,0.19281,0.55655
0646-52523-0075,2944.62,1.04940,-127.53,0.15959,8508.20,4175.98,0.89305,0.18013
1194-52703-0472,729.97,0.99684,685.03,-0.00810,9119.35,5401.77,0.89740,0.54259
2511-53882-0029,-45.68,1.00118,-222.27,0.03800,-988.19,-869.65,0.95538,-0.05274
2526-54582-0224,-137.05,0.98017,1716.34,-0.12375,8689.56,4592.44,0.21975,0.48693
2587-54138-0200,-955.98,0.51384,-535.37,-0.32076,2149.46,1717.38,0.56523,-0.40538
1467-53115-0163,-683.68,0.97170,-614.06,0.00591,-2352.24,1661.91,1.10677,0.09958
1211-52964-0539,1276.48,0.99210,1250.97,-0.00578,8691.32,4008.35,0.98086,0.15476
0296-51984-0168,-2882.33,0.97699,-2917.26,-0.00683,8747.64,8030.76,0.32572,0.60193
2167-53889-0484,-820.47,0.97598,-858.92,-0.01480,369.66,360.60,0.97055,-0.02774
1827-53531-0073,1003.10,0.95496,937.61,0.02878,9669.17,2669.72,1.36818,-0.35757
0401-51788-0129,-1322.97,0.95956,-1363.47,-0.02690,8566.34,4189.50,1.05031,0.25591
0471-51924-0173,545.90,0.51089,-414.10,0.48622,-3035.95,-2410.11,0.74921,-0.25766
0522-52024-0479,-1465.07,0.99155,-1487.98,-0.01193,1476.19,-687.34,0.77360,-0.25640
