Object ID,FWHM BHA,FWHM BHB
1733-53047-0254,10258.29,12725.45
0332-52367-0639,6331.12,8390.82
1384-53121-0250,6636.38,22994.44
2117-54115-0449,8670.00,14467.15
2520-54584-0628,6652.44,3842.47
1720-53854-0632,12910.31,17997.16
0646-52523-0075,12565.09,17865.08
1194-52703-0472,7360.74,3259.03
2511-53882-0029,11609.18,10014.18
2526-54582-0224,9951.46,5841.96
2587-54138-0200,5800.25,5829.22
1467-53115-0163,6614.26,11302.46
1211-52964-0539,4979.95,13295.15
0296-51984-0168,10099.98,2835.68
1827-53531-0073,5210.27,4810.43
0401-51788-0129,4506.24,15599.27
0471-51924-0173,7645.00,10425.86
0522-52024-0479,11724.26,8404.11
0844-52378-0166,6960.26,9990.50
2149-54509-0402,9721.12,16281.67
1734-53034-0618,7940.21,4898.40
1850-53786-0112,11466.09,8709.18
2029-53819-0571,4692.07,6710.22
0407-51820-0090,10952.45,2831.13
0532-51993-0468,14600.64,11754.44
2032-53815-0335,21535.10,19172.70
2196-53534-0123,5208.01,7066.95
0982-52466-0539,8063.20,10123.79
2768-54265-0180,5366.83,6637.64
2438-54056-0301,7147.46,9860.16
2170-53875-0602,5114.02,34778.28
0852-52375-0258,12975.86,3044.36
2269-53711-0614,5451.87,6802.45
1397-53119-0433,5578.58,15630.67
0741-52261-0254,10532.30,11978.54
1056-52764-0088,6064.28,5934.92
0579-52338-0479,5759.84,5895.23
0622-52054-0241,5345.61,14382.38
2355-53792-0203,3069.17,6102.10
0884-52374-0133,4272.45,11312.42
0487-51943-0154,6023.10,13962.08
1401-53144-0580,8763.69,35151.67
0508-52366-0177,5180.69,9150.62
1619-53084-0581,12598.52,16777.56
0599-52317-0504,5140.81,9198.76
1210-52701-0429,5804.74,10813.95
1837-53494-0494,7187.13,9220.09
1759-53081-0175,9445.17,19580.17
0491-51942-0402,8731.05,16005.10
1921-53317-0110,6746.50,6856.03
2477-54058-0014,6930.91,7744.17
2156-54525-0390,6116.52,16022.26
2220-53795-0607,7203.20,4321.73
1618-53116-0133,9217.67,32629.71
0736-52221-0064,4261.11,11263.83
1785-54439-0481,9824.46,10568.51
2025-53431-0525,3551.30,11485.07
0301-51942-0468,7711.20,7315.98
1841-53491-0096,2824.01,2801.16
1727-53859-0071,12767.40,4441.08
1305-52757-0281,21707.94,27333.17
0585-52027-0124,8683.70,10376.08
1376-53089-0613,5336.70,6290.21
1937-53388-0528,5814.96,6421.61
0646-52523-0109,7964.99,21613.82
0637-52174-0411,5172.04,9640.54
1420-53146-0402,4543.40,12138.28
0946-52407-0518,8223.09,13362.84
2521-54538-0269,8845.72,19275.76
1364-53061-0268,4844.93,5921.43
1385-53108-0192,9915.38,35682.39
0341-51690-0387,5242.55,8727.68
0299-51671-0087,3473.29,20250.86
2090-53463-0457,6062.74,4814.23
0851-52376-0550,10091.70,4213.26
1720-53854-0151,10746.33,11834.33
0993-52710-0065,5153.32,6758.09
1040-52722-0522,6284.34,15555.84
1827-53531-0375,6606.42,6918.40
1267-52932-0066,4522.49,10879.71
2096-53446-0045,4466.34,7184.21
1009-52644-0568,4470.85,8863.05
2482-54175-0155,4941.75,7299.23
2533-54585-0133,6926.08,5947.32
2619-54506-0098,4895.87,16308.70
1977-53475-0093,5231.71,10006.70
2112-53534-0507,9963.79,8208.84
0813-52354-0561,12168.13,10065.45
2017-53474-0211,15369.10,15657.99
1009-52644-0363,5055.92,6391.03
2357-53793-0062,8133.07,23094.49
0840-52374-0264,5729.38,14367.78
