Object ID,VShift Peak BHA,Kurtosis BHA,VShift Center BHA,BHA Asymmetry,VShift Peak BHB,VShift Center BHB,Kurtosis BHB,BHB Asymmetry
1733-53047-0254,-2193.24,0.91260,-892.30,-0.08502,8328.48,908.08,0.17242,0.30696
0332-52367-0639,-820.85,0.84129,-959.12,0.13646,246.59,1376.86,1.30406,-0.16874
1384-53121-0250,182.66,0.98020,185.13,0.00728,8809.25,4997.40,0.39296,0.44174
2117-54115-0449,1643.43,0.98690,1915.31,0.02870,7278.85,5013.53,0.68394,0.10478
2520-54584-0628,-1689.98,0.98779,-1703.55,-0.00782,8687.80,5245.99,1.16807,0.43447
1720-53854-0632,1412.92,1.02190,1283.04,0.00731,8450.02,4824.21,0.17325,0.67871
0646-52523-0075,-227.72,1.00316,-307.84,-0.00191,6585.36,3575.02,0.90461,0.08639
1194-52703-0472,775.54,0.98950,734.87,-0.00855,9736.87,7352.49,1.29968,0.41372
2511-53882-0029,-1140.32,0.96692,-1317.84,0.04349,-2912.04,-1116.74,1.22226,-0.27707
2526-54582-0224,1503.39,1.00570,1509.98,-0.00778,9984.21,8522.77,0.24141,0.68111
2587-54138-0200,-773.77,0.97548,-786.83,-0.00676,2149.46,1737.37,0.56899,-0.41203
1467-53115-0163,273.91,0.97045,287.89,0.00751,-2352.24,843.92,0.86845,-0.03510
1211-52964-0539,1276.48,0.99231,1259.37,-0.00578,3067.79,3497.65,1.24421,0.01495
0296-51984-0168,-3111.31,0.98622,-3160.79,-0.00857,8747.64,7992.67,0.32378,0.59856
1827-53531-0073,957.58,0.98621,907.34,-0.00573,9669.17,2790.46,1.35808,-0.33797
0401-51788-0129,-1231.55,0.96761,-1340.50,-0.02498,-1731.10,-502.74,1.27174,-0.11181
0471-51924-0173,1412.49,0.49360,169.90,0.50929,-3035.95,-2927.91,0.97390,-0.05355
0522-52024-0479,-1098.14,0.98151,-1159.91,0.01631,1537.54,-804.06,0.72596,-0.23719
0844-52378-0166,-2422.61,0.98872,-2455.78,-0.00813,308.27,748.88,0.78193,-0.22432
2149-54509-0402,-1504.76,0.98905,-1195.78,-0.07718,184.77,227.81,1.12913,-0.02673
1734-53034-0618,410.71,0.98328,466.31,-0.00303,184.92,617.29,0.65286,-0.34139
1850-53786-0112,-1643.43,0.99801,-1642.79,-0.01232,8745.87,6549.46,0.18315,0.71488
2029-53819-0571,-4473.25,0.95539,-4543.20,0.00660,1169.50,1789.59,0.85544,-0.21021
0407-51820-0090,957.58,0.73015,1082.95,0.00856,8446.59,6153.93,1.33351,0.40680
0532-51993-0468,-1327.42,1.05700,946.97,-0.11349,8568.08,4746.25,0.19900,0.53227
2032-53815-0335,-3861.01,1.27840,-3709.62,-0.05565,8870.88,5373.18,0.38296,0.31669
2196-53534-0123,-1140.32,0.52655,-590.12,-0.16652,615.97,939.47,0.69604,-0.18453
0982-52466-0539,546.98,0.99473,527.26,-0.00512,615.97,1352.21,1.25902,-0.04440
2768-54265-0180,-820.85,0.71151,-921.17,0.01045,8446.59,4597.06,0.25351,0.44789
2438-54056-0301,-1048.94,1.00261,-1044.57,-0.01523,8626.20,2159.46,1.26093,0.05563
2170-53875-0602,91.34,0.66662,482.09,-0.22808,8364.09,5428.63,0.83798,0.33873
0852-52375-0258,-502.81,0.96162,344.17,-0.14347,5862.15,2554.71,1.22181,0.13205
2269-53711-0614,-1872.68,0.75094,-724.99,-0.26315,8627.94,2532.62,1.33108,-0.12448
1397-53119-0433,-3249.31,0.41834,-2138.55,-0.17768,8626.20,5157.78,0.41956,0.32635
0741-52261-0254,-2338.33,0.98389,-2364.68,-0.01242,8508.20,5551.72,0.19083,0.66750
1056-52764-0088,-592.52,0.97693,-620.99,-0.00658,9822.63,4380.29,1.32453,-0.13374
0579-52338-0479,410.77,0.65948,595.83,-0.16455,431.31,903.12,0.50075,-0.04196
0622-52054-0241,-182.33,0.56991,-42.40,-0.14873,8754.73,4355.13,0.95012,0.17993
2355-53792-0203,-957.58,0.98633,-982.63,-0.00356,2333.93,3044.41,1.26556,-0.20159
0884-52374-0133,0.00,0.97200,5.56,-0.00495,8629.69,2810.55,1.25569,0.11045
0487-51943-0154,2229.92,0.66038,2217.09,0.03746,7408.70,5081.02,0.82966,0.05934
1401-53144-0580,-869.16,0.98674,-881.14,-0.01024,9106.43,6360.38,0.38055,0.59978
0508-52366-0177,410.83,0.98099,378.02,0.00250,2843.91,3158.18,0.80969,-0.19788
