Sourcename,H beta mean SNR,H alpha mean SNR,Total SNR
0309-51994-0332,23.77998,14.066845,15.282041
1720-53854-0151,10.534016609191896,7.126097679138184,7.8075852394104
0481-51908-0231,39.35558319091797,29.97470474243164,30.664566040039062
2605-54484-0272,19.539865493774418,14.028178215026855,13.012893676757812
0270-51909-0543,30.11945343017578,23.36061668395996,21.445632934570312
2282-53683-0609,9.962504386901855,5.774857044219971,6.619334697723389
0296-51984-0168,19.017181396484375,14.646502494812012,12.19510555267334
1611-53147-0563,9.179205894470217,6.160679340362549,5.797800540924072
0637-52174-0411,19.041118621826172,11.50760555267334,12.88726806640625
2648-54485-0099,31.62390899658203,25.96636199951172,23.576997756958008
2025-53431-0525,15.96726894378662,12.132075309753418,10.643807411193848
0627-52144-0551,17.100481033325195,10.66953945159912,12.622568130493164
2766-54242-0154,31.359939575195312,24.10073471069336,23.06405258178711
1814-54555-0405,26.130870819091797,19.044374465942383,18.92603874206543
1211-52964-0539,12.374387741088867,9.667805671691896,8.321598052978516
1785-54439-0481,38.5548095703125,29.296262741088867,33.07230758666992
0467-51901-0608,12.143402099609377,8.085089683532715,7.37701416015625
1424-52912-0581,15.300653457641602,9.64378547668457,9.880839347839355
0354-51792-0092,29.227354049682617,20.37168884277344,20.31344985961914
0843-52378-0568,9.792254447937012,7.246069431304932,6.340388298034668
2586-54169-0525,17.778522491455078,12.602264404296877,12.836224555969238
1167-52738-0381,18.57010269165039,13.224701881408691,12.35855770111084
1720-53854-0632,13.478736877441406,9.36306095123291,8.43994140625
2110-53467-0119,32.42768478393555,24.60241317749023,23.834672927856445
0394-51913-0535,32.25398254394531,22.526575088500977,20.436811447143555
0936-52705-0463,17.511531829833984,11.681382179260254,12.291728019714355
0776-52319-0495,24.161815643310547,15.90204906463623,18.390893936157227
2974-54592-0229,28.95588493347168,20.79943084716797,21.58940315246582
0605-52353-0258,12.813758850097656,8.24075698852539,8.172982215881348
0342-51691-0391,14.54103946685791,13.393950462341309,9.08948802947998
1733-53047-0254,15.816259384155272,11.939712524414062,9.91209316253662
0524-52027-0131,17.219993591308594,11.755425453186035,12.15668773651123
0487-51943-0244,20.345537185668945,14.721281051635742,13.227989196777344
1331-52766-0275,21.225439071655273,14.097427368164062,14.748722076416016
2353-53794-0358,12.03676414489746,9.43637752532959,8.270313262939453
2269-53711-0614,30.79909324645996,22.6715145111084,22.23920631408691
1467-53115-0163,21.913536071777344,13.559127807617188,16.07073402404785
0564-52224-0278,13.225366592407228,9.297024726867676,8.228108406066895
0840-52374-0264,16.384784698486328,9.821126937866213,11.78111743927002
2349-53734-0287,9.124192237854004,5.632942199707031,6.346338748931885
0845-52381-0038,26.0543212890625,16.838024139404297,17.956235885620117
1841-53491-0096,21.84020233154297,14.892082214355469,15.151215553283691
1040-52722-0522,21.10372734069824,13.951423645019531,14.886630058288574
