Object ID,FWHM BHA,FWHM BHB
1733-53047-0254,9849.97,10932.90
0332-52367-0639,4993.08,11244.81
1384-53121-0250,3786.57,26044.88
2117-54115-0449,3909.17,4337.29
2520-54584-0628,7644.98,12892.72
1720-53854-0632,12169.96,16648.44
0646-52523-0075,11548.07,26349.81
1194-52703-0472,7396.23,17983.10
2511-53882-0029,11855.61,8101.21
2526-54582-0224,8331.20,14956.16
2587-54138-0200,10035.73,6749.72
1467-53115-0163,8497.91,10901.34
1211-52964-0539,4082.67,5472.20
0296-51984-0168,10358.14,22277.33
1827-53531-0073,5560.98,3527.33
0401-51788-0129,4451.69,3554.54
0471-51924-0173,6901.58,12954.54
0522-52024-0479,8565.04,8675.63
0844-52378-0166,3656.94,10989.74
2149-54509-0402,9571.32,14435.86
1734-53034-0618,4840.71,3873.80
1850-53786-0112,9524.10,12044.33
2029-53819-0571,5685.80,4843.80
0407-51820-0090,13279.67,16470.94
0532-51993-0468,14532.41,22513.64
2032-53815-0335,9330.71,23298.73
2196-53534-0123,5540.27,8420.84
0982-52466-0539,8104.02,7709.65
2768-54265-0180,4330.07,8115.15
2438-54056-0301,6604.07,12191.27
2170-53875-0602,3909.68,14412.72
0852-52375-0258,14174.27,13926.01
2269-53711-0614,5820.58,8730.86
1397-53119-0433,4847.13,12922.98
0741-52261-0254,8169.91,16819.43
1056-52764-0088,6817.60,14422.03
0579-52338-0479,5470.93,7199.10
0622-52054-0241,5337.74,7625.85
2355-53792-0203,2824.99,6898.20
0884-52374-0133,3923.95,3646.37
0487-51943-0154,4555.82,10040.87
1401-53144-0580,6548.35,16882.18
0508-52366-0177,5097.41,6096.77
1619-53084-0581,11648.15,16829.38
0599-52317-0504,6162.99,10977.58
1210-52701-0429,3412.60,8713.44
1837-53494-0494,9367.99,10032.78
1759-53081-0175,5650.50,15461.00
0491-51942-0402,6972.44,4034.50
1921-53317-0110,4834.62,5051.39
2477-54058-0014,7331.83,10322.35
2156-54525-0390,6812.78,17398.08
2220-53795-0607,4357.32,3644.14
1618-53116-0133,7466.62,32484.86
0736-52221-0064,8886.44,10531.94
1785-54439-0481,10601.94,10932.72
2025-53431-0525,3529.04,19647.34
0301-51942-0468,5264.80,12924.70
1841-53491-0096,6884.80,12834.98
1727-53859-0071,6249.78,3993.98
1305-52757-0281,4183.66,25901.61
0585-52027-0124,8221.75,10839.14
1376-53089-0613,5973.97,6047.76
1937-53388-0528,7067.82,7753.10
0646-52523-0109,5351.25,16985.82
0637-52174-0411,5250.92,6721.77
1420-53146-0402,5769.23,6469.46
0946-52407-0518,7111.64,7787.67
2521-54538-0269,6872.66,21017.05
1364-53061-0268,5365.97,5557.54
1385-53108-0192,11210.75,35673.26
0341-51690-0387,6423.99,9420.62
0299-51671-0087,3020.10,33073.86
2090-53463-0457,5308.70,5361.18
0851-52376-0550,9537.60,21572.61
1720-53854-0151,11618.03,10080.60
0993-52710-0065,9979.74,21325.57
1040-52722-0522,5345.43,13480.60
1827-53531-0375,6937.91,14794.63
1267-52932-0066,4668.85,22104.95
2096-53446-0045,3228.28,6008.77
1009-52644-0568,4518.77,5094.06
2482-54175-0155,6431.39,5528.41
2533-54585-0133,5590.89,5415.23
2619-54506-0098,5731.50,21202.27
1977-53475-0093,5203.84,8065.87
2112-53534-0507,3839.79,17983.14
0813-52354-0561,6596.12,8467.16
2017-53474-0211,15446.16,17861.50
1009-52644-0363,5233.73,14369.91
2357-53793-0062,7020.71,35666.58
0840-52374-0264,6383.99,5401.42
0650-52143-0236,7119.05,7606.98
0888-52339-0639,5927.28,6273.61
2366-53741-0456,14508.68,34966.89
1047-52733-0495,7440.82,8940.84
0590-52057-0266,4020.44,6233.98
1308-53053-0169,7031.91,8554.73
1395-52825-0189,5879.12,3640.97
0776-52319-0495,5579.98,6721.88
2532-54589-0358,9620.37,16889.84
0853-52374-0240,7654.89,7308.52
0843-52378-0568,9805.63,21082.46
2499-54176-0079,11371.55,14206.26
0612-52079-0614,6912.05,16726.92
0281-51614-0351,4430.74,15389.02
2294-54524-0636,4775.74,2839.59
2155-53820-0195,8759.99,26402.74
0955-52409-0230,14350.31,16510.48
2425-54139-0164,8060.81,9167.03
1797-54507-0133,6095.31,5490.64
1595-52999-0001,6048.32,31055.11
0342-51691-0391,18013.12,27381.29
2766-54242-0154,6886.18,8522.00
2353-53794-0358,6830.17,16246.73
0393-51794-0168,4648.62,6705.94
1464-53091-0460,13740.19,34558.10
1268-52933-0564,4308.54,6797.84
1844-54138-0071,7652.56,4249.52
1763-53463-0575,13099.10,12229.99
0467-51901-0608,5982.38,10405.05
1849-53846-0115,5531.51,10666.66
1611-53147-0563,3686.01,9479.55
0627-52144-0551,8209.71,9797.63
1807-54175-0261,4735.57,7840.45
2648-54485-0099,6781.84,22684.30
0394-51913-0535,10635.81,12068.39
1282-52759-0246,6036.50,7450.38
1002-52646-0003,13780.01,8913.81
1745-53061-0610,4280.15,7479.18
0842-52376-0530,8111.33,9902.21
0631-52079-0324,5795.53,12572.77
0606-52365-0154,34985.55,34386.67
2282-53683-0609,6619.45,18674.00
2170-53875-0201,7178.20,8867.07
1624-53386-0032,11160.59,11078.97
1780-53090-0225,10193.35,3184.67
1864-53313-0068,4507.23,6429.78
1872-53386-0553,6473.89,10905.66
1716-53827-0140,5769.34,11621.69
2243-53794-0381,7976.32,15490.58
2022-53827-0286,8004.15,12027.35
0827-52312-0064,8287.43,2847.64
1462-53112-0400,6407.07,5344.56
1575-53493-0088,5587.09,4625.95
1019-52707-0210,5125.88,4911.82
0430-51877-0600,5548.51,4686.90
0524-52027-0131,5529.57,5823.09
1783-53386-0514,2804.83,6813.31
1813-53903-0462,7498.59,6938.63
0487-51943-0244,8222.70,18669.06
0912-52427-0339,16712.75,22405.90
1224-52765-0400,8715.39,6443.53
1331-52766-0275,10932.74,16604.06
1951-53389-0400,7428.44,19694.39
1424-52912-0581,11059.28,17940.63
2782-54592-0204,5939.40,6244.15
1721-53857-0045,4161.03,4846.92
0881-52368-0373,4541.80,11501.41
1648-53171-0548,5711.30,12643.62
1049-52751-0353,4922.58,9777.38
1338-52765-0257,9459.49,13220.18
1626-53472-0292,5977.19,14071.39
0605-52353-0258,5596.38,6844.74
2651-54507-0448,5382.30,5748.80
1409-52824-0289,8247.83,10417.78
2770-54510-0096,4232.03,6578.46
1864-53313-0570,6901.89,8675.08
2605-54484-0272,6194.13,14273.93
0354-51792-0092,5470.69,3046.22
0649-52201-0406,5996.25,6309.93
0876-52669-0330,6348.65,15024.70
2286-53700-0208,6763.29,2807.40
0270-51909-0543,21345.94,35673.15
2297-53738-0398,9253.74,13359.84
2094-53851-0620,3744.56,17768.53
0309-51994-0332,4082.19,34966.34
2973-54591-0190,4227.72,5075.80
0625-52145-0637,15781.75,35088.92
1040-52722-0383,8301.74,31024.50
2593-54175-0025,9814.24,8822.25
2349-53734-0287,16787.75,3917.25
2761-54534-0018,8354.18,13221.82
2219-53816-0406,6274.61,8413.26
1930-53347-0584,4749.70,8111.38
1634-53299-0559,7916.89,23752.61
0508-52366-0156,9087.89,23759.45
0273-51957-0008,4803.03,8402.54
1814-54555-0405,7173.40,9566.94
2948-54553-0336,5964.60,12805.04
2586-54169-0525,5886.56,3247.73
2362-53759-0412,9160.13,11171.64
0761-54524-0071,7596.43,11085.94
1167-52738-0381,3523.42,6761.04
1039-52707-0044,7463.17,10468.71
1187-52708-0120,9060.18,18523.92
1353-53083-0639,9750.97,13842.84
1457-53116-0570,10588.59,9831.92
1612-53149-0471,5675.38,5854.93
0576-52325-0374,6066.45,5528.71
0519-52283-0177,5244.18,7177.18
0719-52203-0092,8455.04,8367.55
1649-53149-0638,5516.50,14663.17
2031-53848-0060,11117.84,20935.60
0845-52381-0038,2900.10,8058.91
1189-52668-0447,7287.96,6852.44
0564-52224-0278,8188.66,6448.94
0936-52705-0463,6759.78,15519.16
1450-53120-0130,9131.91,16431.10
0521-52326-0008,4192.95,4181.54
0939-52636-0448,5499.67,7900.49
1417-53141-0516,2813.64,3523.59
1848-54180-0559,9650.70,10827.85
0453-51915-0119,10627.01,13114.75
0662-52147-0297,5511.38,12934.79
2110-53467-0119,9295.40,22739.74
1600-53090-0602,10325.53,12996.09
0473-51929-0375,4972.12,2824.58
1833-54561-0539,6541.23,8411.57
1926-53317-0608,10343.90,12566.06
0885-52379-0261,5063.32,8586.49
0481-51908-0231,5641.29,11740.27
2974-54592-0229,9042.32,34966.88
0972-52435-0080,4414.13,4397.37
1704-53178-0104,11957.13,7107.26
1993-53762-0351,5473.67,5530.16
