Object ID,VShift Peak BHA,Kurtosis BHA,VShift Center BHA,BHA Asymmetry,VShift Peak BHB,VShift Center BHB,Kurtosis BHB,BHB Asymmetry
1733-53047-0254,-2102.17,0.70529,-1099.71,0.07160,-1731.81,-1706.60,0.99786,-0.02483
0332-52367-0639,-455.75,0.65726,-906.51,0.19119,677.50,680.60,1.02301,-0.01766
1384-53121-0250,-137.07,0.31145,720.96,-0.36973,-741.91,-915.74,1.60478,-0.05125
2117-54115-0449,-1277.45,0.56016,-787.69,-0.45862,555.34,527.73,0.98873,-0.00504
2520-54584-0628,-1735.00,0.47931,-1656.34,-0.22554,-802.65,-823.04,1.01732,-0.02328
1720-53854-0632,-640.09,0.94693,1086.07,0.22115,-988.19,-1061.79,1.12735,-0.05068
0646-52523-0075,-2560.32,1.25614,-189.03,-0.04145,3128.82,2968.36,1.61795,0.01042
1194-52703-0472,-137.07,0.63032,498.28,0.26278,863.60,-212.95,1.11252,-0.02337
2511-53882-0029,-274.16,1.00214,-268.83,-0.01137,-1542.92,-1520.04,0.97727,-0.00812
2526-54582-0224,-137.05,0.74431,941.40,0.11309,-1050.27,1574.30,1.17273,-0.12630
2587-54138-0200,-1970.34,0.70303,1365.59,-0.17098,1779.17,423.73,1.26929,0.15799
1467-53115-0163,456.37,0.57515,-340.61,0.41290,-617.24,-626.57,1.01173,-0.00192
1211-52964-0539,958.02,0.50265,1067.73,0.27838,1600.19,1557.43,0.98925,-0.00938
0296-51984-0168,-3388.41,0.94959,-3463.66,0.03383,-1859.73,-1171.23,1.41642,-0.14052
1827-53531-0073,319.53,0.81570,1250.36,-0.20206,431.93,778.86,0.64001,-0.25724
0401-51788-0129,-3020.27,0.50729,-1146.09,-0.48328,-1353.46,-1058.13,0.27750,0.09470
0471-51924-0173,-273.28,0.46471,-1081.18,0.52504,-2353.70,-2239.65,0.96080,-0.08915
0522-52024-0479,-1878.41,0.82293,-1743.58,0.17314,1353.46,-1252.14,1.13263,0.05899
0844-52378-0166,-3526.03,0.45515,-3155.22,0.00364,2579.60,2342.57,0.82384,0.00655
2149-54509-0402,411.14,0.99753,381.65,-0.01078,307.95,319.81,1.06953,-0.02472
1734-53034-0618,-777.31,0.40460,-382.82,0.48413,1112.17,1388.41,0.32685,-0.35706
1850-53786-0112,-2973.83,0.64579,-2483.00,0.14023,-493.79,-504.44,1.01460,-0.02043
2029-53819-0571,3482.11,1.18355,3993.78,-0.02681,737.80,682.54,0.98936,-0.00559
0407-51820-0090,1230.61,1.02662,1223.97,0.00278,2882.84,2820.71,1.14409,-0.00119
0532-51993-0468,-2430.40,1.25246,985.68,-0.21540,1783.91,1786.98,1.48197,-0.02310
2032-53815-0335,501.97,0.83103,-73.40,0.02547,2211.10,1958.97,1.52599,0.00201
2196-53534-0123,-1048.94,0.78765,-579.31,-0.10936,923.48,866.17,0.99790,-0.00980
0982-52466-0539,2652.17,0.55256,2499.42,-0.02126,308.21,836.84,0.60632,-0.23375
2768-54265-0180,-957.87,0.59131,-886.71,-0.12052,1475.89,1404.11,0.97167,0.01668
2438-54056-0301,-2330.49,0.55586,-1031.49,-0.44446,2027.47,1965.18,1.04030,-0.00954
2170-53875-0602,-91.34,0.56490,315.18,-0.25066,185.27,233.64,1.06176,-0.03410
0852-52375-0258,-3814.75,1.09283,1814.42,-0.19511,1722.22,2251.59,1.00090,-0.04518
2269-53711-0614,-136.63,0.75773,-207.93,-0.21925,1905.37,1880.01,1.01307,0.00238
1397-53119-0433,-3525.50,0.39702,-1614.32,-0.51149,3067.79,3052.24,1.03427,-0.00849
0741-52261-0254,-2752.85,0.60749,-2802.74,0.15787,984.94,916.69,1.16150,-0.02390
1056-52764-0088,-592.52,0.97012,-641.60,-0.00758,2884.02,446.31,0.91702,0.14751
0579-52338-0479,-457.07,0.73561,390.74,-0.03428,1230.67,1192.63,0.99557,-0.00837
0622-52054-0241,-182.33,0.56623,-39.78,-0.17332,1358.19,2368.99,0.68253,-0.10491
2355-53792-0203,-957.58,0.94832,-935.26,-0.00102,1966.63,1557.02,0.81418,-0.14345
0884-52374-0133,957.87,0.73126,992.98,-0.13563,1975.54,2242.70,0.44086,-0.26766
0487-51943-0154,1731.04,0.41521,2003.48,0.22461,3128.82,3052.36,1.00483,-0.01155
1401-53144-0580,-457.14,0.68363,-361.61,-0.24293,2822.95,2765.69,1.15832,-0.00516
